ID,G,sigma2,num_samples,M,rho,NMC,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss
1778937199.062291,uniform,0.005,1057,5,2.5,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,5,3.0,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,5,3.5,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,5,4.0,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,5,4.5,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,6,0.5,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,6,1.0,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,6,1.5,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,6,2.0,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,6,2.5,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,6,3.0,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,6,3.5,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,6,4.0,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,6,4.5,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,7,0.5,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,7,1.0,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,7,1.5,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,7,2.0,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,7,2.5,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,7,3.0,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,7,3.5,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
1778937199.062291,uniform,0.005,1057,7,4.0,100,0.0,0.0,0.0,0.0,-0.010106661864838822,9.957569978870258e-05
