ID,G,sigma2,num_samples,M,rho,NMC,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss
1772996441.151306,uniform,0.1,100,2,0.004,50,0.19417322357323485,0.005629171028228931,0.0007656909045150619,0.0006461760714878035,0.006524887726112476,0.0009428823536002898
1772996441.151306,uniform,0.1,100,2,0.006,50,0.19417322357323485,0.005629171028228931,0.0007656909045150619,0.0006461760714878035,0.006524887726112476,0.0009428823536002898
1772996441.151306,uniform,0.1,100,2,0.008,50,0.19417322357323485,0.005629171028228931,0.0007656909045150619,0.0006461760714878035,0.006524887726112476,0.0009428823536002898
1772996441.151306,uniform,0.1,100,2,0.01,50,0.19417322357323485,0.005629171028228931,0.0007656909045150619,0.0006461760714878035,0.006524887726112476,0.0009428823536002898
1772996441.151306,uniform,0.1,100,2,0.02,50,0.19417322357323485,0.005629171028228931,0.0007656909045150619,0.0006461760714878035,0.006524887726112476,0.0009428823536002898
1772996441.151306,uniform,0.1,100,2,0.04,50,0.194172748742735,0.005629195593623209,0.0007654281961934319,0.0006453853689991394,0.0065244128956126034,0.0009415764347582852
1772996441.151306,uniform,0.1,100,2,0.06,50,0.19413913811512015,0.005632732734343567,0.0007397776828282231,0.0005914848318183677,0.006490802267997746,0.0008737640713557941
1772996441.151306,uniform,0.1,100,2,0.08,50,0.19401856624452066,0.005657935588166302,0.000632151293195724,0.00046053659036065977,0.00637023039739828,0.00071967189599584
1772996441.151306,uniform,0.1,100,2,0.1,50,0.1938536685534453,0.00570070179831431,0.0004776256264199647,0.00033562611561277044,0.006205332706322918,0.0005761591322553395
1772996441.151306,uniform,0.1,100,3,0.002,50,0.19882134029613538,0.005706704764169045,0.005409630735786108,0.003527066643989351,0.011173004449013004,0.0038541568472387996
1772996441.151306,uniform,0.1,100,3,0.004,50,0.19882134029613538,0.005706704764169045,0.005409630735786108,0.003527066643989351,0.011173004449013004,0.0038541568472387996
1772996441.151306,uniform,0.1,100,3,0.006,50,0.19882137727432517,0.005706750778507838,0.005409624729840515,0.003527050384089107,0.011173041427202785,0.0038542748482070497
1772996441.151306,uniform,0.1,100,3,0.008,50,0.19881836391509602,0.00570303038067056,0.005407007458007454,0.003520002409463242,0.011170028067973643,0.0038447156093301847
1772996441.151306,uniform,0.1,100,3,0.01,50,0.19881054283485575,0.005693240358658104,0.005400441770708761,0.0035018222855956395,0.011162206987733386,0.00382090648795842
1772996441.151306,uniform,0.1,100,3,0.02,50,0.19872876024879774,0.0056078713999851105,0.00530955251906661,0.0032758762308556497,0.011080424401675342,0.00361748383926555
1772996441.151306,uniform,0.1,100,3,0.04,50,0.19835345631337872,0.005444081285816582,0.004920817215091259,0.0026724388069379623,0.010705120466256334,0.003076239620352084
1772996441.151306,uniform,0.1,100,3,0.06,50,0.19764104440034266,0.005369474005660927,0.004231876585418201,0.0020370827949168085,0.009992708553220314,0.002506782374883012
1772996441.151306,uniform,0.1,100,3,0.08,50,0.19670064694675282,0.005364455952328232,0.0033087013058014057,0.0014883534136659576,0.009052311099630428,0.0019750006387127057
1772996441.151306,uniform,0.1,100,3,0.1,50,0.19581610948551645,0.005403145066966362,0.002429924891044176,0.0010909326083498702,0.008167773638394042,0.001535803206025074
1772996441.151306,uniform,0.1,100,4,0.002,50,0.24417148895819868,0.059719232255797686,0.05448540429582164,0.06612727529794792,0.05652315311107627,0.06055656932350461
1772996441.151306,uniform,0.1,100,4,0.004,50,0.24314991085237903,0.06705378937163656,0.0539430743960132,0.07599844765550126,0.05550157500525665,0.06768215438963904
1772996441.151306,uniform,0.1,100,4,0.006,50,0.23361719428496158,0.051044940236925344,0.04281709125865284,0.05627244329848298,0.04596885843783917,0.05161437314188711
1772996441.151306,uniform,0.1,100,4,0.008,50,0.2273486601592078,0.036066504201760746,0.035655812526828645,0.03856467942824396,0.03970032431208542,0.03661909365147566
1772996441.151306,uniform,0.1,100,4,0.01,50,0.2234701369681149,0.027284853686271017,0.03148730491618324,0.029115105947888582,0.035821801120992515,0.027795080349674744
1772996441.151306,uniform,0.1,100,4,0.02,50,0.21572106032671098,0.013818744882172704,0.02323434886336049,0.014285787384786001,0.028072724479588626,0.014024484466077687
1772996441.151306,uniform,0.1,100,4,0.04,50,0.20980609465681296,0.008611283238404302,0.01716907631999298,0.007864466251441085,0.022157758809690557,0.007949045287442053
1772996441.151306,uniform,0.1,100,4,0.06,50,0.20591744597519568,0.006940452656147399,0.013205645492940095,0.005153636594191392,0.018269110128073293,0.005363295221403787
1772996441.151306,uniform,0.1,100,4,0.08,50,0.2027545173376862,0.006309165725201866,0.009932158054599502,0.003604146515969578,0.01510618149056381,0.0039243618380534065
1772996441.151306,uniform,0.1,100,4,0.1,50,0.200213177391097,0.0060137582579191376,0.007312836602918776,0.0026294723648544937,0.012564841543974628,0.0029672422739450803
1772996441.151306,uniform,0.1,100,5,0.002,50,0.35857187431407206,0.10242248589931799,0.17914677149613512,0.11127826275780778,0.17092353846694974,0.1038468914945488
