G,sigma2,mc,Loss Type,Loss
uniform,0.201,0,Oracle Denoised,0.4032970270686176
uniform,0.201,1,Oracle Denoised,0.37318374240602936
uniform,0.201,2,Oracle Denoised,0.3778380097945245
uniform,0.25,0,Oracle Denoised,0.4603813385964452
uniform,0.25,1,Oracle Denoised,0.4806499210141116
uniform,0.25,2,Oracle Denoised,0.4851792443988552
1-modal,0.005,0,Oracle Denoised,0.01309534309581613
1-modal,0.005,1,Oracle Denoised,0.01369557415648701
1-modal,0.005,2,Oracle Denoised,0.013060290033414208
1-modal,0.054,0,Oracle Denoised,0.05496419727400906
1-modal,0.054,1,Oracle Denoised,0.05373212665963308
1-modal,0.054,2,Oracle Denoised,0.05210326120162111
1-modal,0.10300000000000001,0,Oracle Denoised,0.06578054427522678
1-modal,0.10300000000000001,1,Oracle Denoised,0.06292962775382985
1-modal,0.10300000000000001,2,Oracle Denoised,0.06785054187703513
1-modal,0.15200000000000002,0,Oracle Denoised,0.0746772119686779
1-modal,0.15200000000000002,1,Oracle Denoised,0.07267540315374584
1-modal,0.15200000000000002,2,Oracle Denoised,0.07255988514950752
1-modal,0.201,0,Oracle Denoised,0.07964812408753642
1-modal,0.201,1,Oracle Denoised,0.07800410663715243
1-modal,0.201,2,Oracle Denoised,0.0761382796509942
1-modal,0.25,0,Oracle Denoised,0.08163240233478387
1-modal,0.25,1,Oracle Denoised,0.08281519185787735
1-modal,0.25,2,Oracle Denoised,0.08187431714870683
4-modal,0.005,0,Oracle Denoised,0.011361747047545489
4-modal,0.005,1,Oracle Denoised,0.011408362264604002
4-modal,0.005,2,Oracle Denoised,0.01163344604596269
4-modal,0.054,0,Oracle Denoised,0.02197796893981315
4-modal,0.054,1,Oracle Denoised,0.018530469299798565
4-modal,0.054,2,Oracle Denoised,0.018080408229328392
4-modal,0.10300000000000001,0,Oracle Denoised,0.03956408747551326
4-modal,0.10300000000000001,1,Oracle Denoised,0.0387631647185391
4-modal,0.10300000000000001,2,Oracle Denoised,0.043993347053946946
4-modal,0.15200000000000002,0,Oracle Denoised,0.09685494328977293
4-modal,0.15200000000000002,1,Oracle Denoised,0.12873257810591618
4-modal,0.15200000000000002,2,Oracle Denoised,0.12656335063660196
4-modal,0.201,0,Oracle Denoised,0.1856280122341588
4-modal,0.201,1,Oracle Denoised,0.20620296701674887
4-modal,0.201,2,Oracle Denoised,0.24152954726551415
4-modal,0.25,0,Oracle Denoised,0.30106846191902775
4-modal,0.25,1,Oracle Denoised,0.31095957397882096
4-modal,0.25,2,Oracle Denoised,0.2850845574140235
equator,0.005,0,Oracle Denoised,0.006322078675336364
equator,0.005,1,Oracle Denoised,0.006018365074815605
equator,0.005,2,Oracle Denoised,0.006430006307126865
equator,0.054,0,Oracle Denoised,0.0571610339587827
equator,0.054,1,Oracle Denoised,0.0539280867628458
equator,0.054,2,Oracle Denoised,0.05541680836203437
equator,0.10300000000000001,0,Oracle Denoised,0.1054883068706896
equator,0.10300000000000001,1,Oracle Denoised,0.10600497056903563
equator,0.10300000000000001,2,Oracle Denoised,0.11692878981329986
equator,0.15200000000000002,0,Oracle Denoised,0.18257330830657534
equator,0.15200000000000002,1,Oracle Denoised,0.15909083488461762
equator,0.15200000000000002,2,Oracle Denoised,0.16830790645918928
equator,0.201,0,Oracle Denoised,0.23102797519719304
equator,0.201,1,Oracle Denoised,0.21985246404626235
equator,0.201,2,Oracle Denoised,0.23589296695814715
equator,0.25,0,Oracle Denoised,0.2893897158454342
equator,0.25,1,Oracle Denoised,0.29098299970511277
equator,0.25,2,Oracle Denoised,0.29635180741415845
uniform,0.005,0,Oracle Bayes,
uniform,0.005,1,Oracle Bayes,
uniform,0.005,2,Oracle Bayes,
uniform,0.054,0,Oracle Bayes,
uniform,0.054,1,Oracle Bayes,
uniform,0.054,2,Oracle Bayes,
