G,sigma2,num_samples,M,rho,NMC,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss,mean_oracle_loss,std_oracle_loss
uniform,0.1,100,10,0.5,10,0.2103023973445942,0.0081625139945191,0.0132726488841721,0.0011474917653421,0.01337377508346,0.0026168496374381,0.1969286222611341,0.0070119344347944
uniform,0.1,100,10,0.25,10,0.2488739643813713,0.0110616169482571,0.052548024779294,0.0046756128630836,0.0519453421202371,0.0067387338771632,0.1969286222611341,0.0070119344347944
uniform,0.1,100,10,0.1,10,0.4422745963132634,0.031620330361243,0.2512036526743472,0.0288246119664266,0.2453459740521292,0.0298453856131111,0.1969286222611341,0.0070119344347944
uniform,0.1,100,10,0.05,10,0.800506782539216,0.083112861319452,0.6260773179943927,0.0829609897711415,0.6035781602780819,0.0820594129913712,0.1969286222611341,0.0070119344347944
uniform,0.1,100,10,0.025,10,1.451228780595879,0.1589532253461399,1.3487403181060025,0.1824661154865241,1.2543001583347446,0.1574356477897976,0.1969286222611341,0.0070119344347944
uniform,0.1,100,10,0.01,10,1.6004092965926715,0.109760709133074,1.531346177240755,0.1202621573175843,1.4034806743315371,0.1079047941509311,0.1969286222611341,0.0070119344347944
uniform,0.1,100,10,0.001,10,1.5225719539992086,0.1128759942059061,1.4396543435311684,0.1293839363709372,1.3256433317380742,0.1115532616283286,0.1969286222611341,0.0070119344347944
uniform,0.1,100,10,0.0001,10,1.5267078989896308,0.0915281762080588,1.4527654480737504,0.0977079942567777,1.3297792767284964,0.0904521747101432,0.1969286222611341,0.0070119344347944
uniform,0.1,100,10,1e-05,10,1.5245940485887337,0.115348635862312,1.447066512089077,0.1350994647351159,1.327665426327599,0.1142790218221457,0.1969286222611341,0.0070119344347944
uniform,0.1,100,10,1e-06,10,1.5395520681087216,0.1064250692179063,1.471540420329243,0.1325909153570694,1.3426234458475874,0.105027574467962,0.1969286222611341,0.0070119344347944
uniform,0.1,100,10,1e-07,10,1.5339585405441332,0.1011948300233204,1.4632083590623364,0.1142609601773578,1.3370299182829992,0.0985642488087377,0.1969286222611341,0.0070119344347944
uniform,0.1,100,10,1e-08,10,1.524196486093128,0.1061481335612538,1.4373298281957656,0.1221543523350664,1.327267863831994,0.1039941155051817,0.1969286222611341,0.0070119344347944
uniform,0.1,100,12,0.5,10,0.224216191712565,0.0075866401583971,0.0275612290764294,0.0022349243794393,0.0272875694514308,0.0025604396626331,0.1969286222611341,0.0070119344347944
uniform,0.1,100,12,0.25,10,0.3023083628315577,0.0103341188202703,0.1076512015559932,0.0092457594667205,0.1053797405704235,0.0067778566593464,0.1969286222611341,0.0070119344347944
uniform,0.1,100,12,0.1,10,0.6698085201100034,0.0460629129934053,0.4874343068169716,0.0548444586250018,0.4728798978488692,0.0435654792675106,0.1969286222611341,0.0070119344347944
uniform,0.1,100,12,0.05,10,1.3811166726488395,0.1226337065263624,1.247923154233826,0.1536694709323056,1.1841880503877056,0.1209740367185195,0.1969286222611341,0.0070119344347944
uniform,0.1,100,12,0.025,10,2.136179177039017,0.1430251513756653,2.115661322435934,0.1599515612917271,1.9392505547778829,0.1405927925885294,0.1969286222611341,0.0070119344347944
uniform,0.1,100,12,0.01,10,1.9750035833558908,0.091699011446226,1.9491572558282813,0.1085149466302491,1.7780749610947566,0.0881032813337998,0.1969286222611341,0.0070119344347944
uniform,0.1,100,12,0.001,10,1.9342808804262224,0.1157675757631632,1.8859563174606329,0.1361674767267573,1.7373522581650884,0.1130799876172849,0.1969286222611341,0.0070119344347944
uniform,0.1,100,12,0.0001,10,1.9465580621602336,0.1057780069261549,1.9081360059097985,0.1224631092082359,1.7496294398990997,0.1012021350025709,0.1969286222611341,0.0070119344347944
uniform,0.1,100,12,1e-05,10,1.9353585001811768,0.0816035421814697,1.8913218377142509,0.0972099856054109,1.7384298779200429,0.0778266916986316,0.1969286222611341,0.0070119344347944
uniform,0.1,100,12,1e-06,10,1.9484288770288256,0.0956899683610761,1.9046412952007996,0.1079168991092313,1.751500254767692,0.092795126655099,0.1969286222611341,0.0070119344347944
uniform,0.1,100,12,1e-07,10,1.944010995041933,0.0897783044253867,1.9063045017994915,0.1025100321811972,1.747082372780799,0.0849027113513856,0.1969286222611341,0.0070119344347944
uniform,0.1,100,12,1e-08,10,1.9454900231050671,0.1115176300387263,1.906984945302264,0.1369073654751535,1.7485614008439332,0.1088714636498326,0.1969286222611341,0.0070119344347944
uniform,0.1,100,15,0.5,10,0.2636262126441168,0.0082032377978609,0.0668064933490598,0.0084100020591814,0.0666975903829826,0.0101450318703031,0.1969286222611341,0.0070119344347944
uniform,0.1,100,15,0.25,10,0.443993564935507,0.0272854361652297,0.2514256129098227,0.0291980865459648,0.2470649426743728,0.030813235366296,0.1969286222611341,0.0070119344347944
uniform,0.1,100,15,0.1,10,1.2288495209665502,0.1098283630739116,1.0760582449812532,0.1249109331144861,1.031920898705416,0.1126442935611387,0.1969286222611341,0.0070119344347944
uniform,0.1,100,15,0.05,10,2.35384318205265,0.1289216222809516,2.346067198196649,0.1688324211258419,2.156914559791516,0.1309936454507275,0.1969286222611341,0.0070119344347944
uniform,0.1,100,15,0.025,10,2.5953866084087154,0.1024581327279927,2.6417012782840263,0.1242362725937002,2.398457986147581,0.102053684809864,0.1969286222611341,0.0070119344347944
uniform,0.1,100,15,0.01,10,2.396269462434208,0.087919716996613,2.405479666903566,0.1105452846285771,2.1993408401730736,0.086683742437425,0.1969286222611341,0.0070119344347944
uniform,0.1,100,15,0.001,10,2.386878424236496,0.0778893100987678,2.402291803854026,0.1071873685008323,2.1899498019753616,0.0787512370571949,0.1969286222611341,0.0070119344347944
uniform,0.1,100,15,0.0001,10,2.372705664536542,0.0962948517154096,2.3763738350479464,0.1114805030712372,2.175777042275408,0.0941872787080931,0.1969286222611341,0.0070119344347944
uniform,0.1,100,15,1e-05,10,2.3825911403314874,0.0862202573471648,2.3945572376503264,0.1003252011580402,2.185662518070354,0.0847907584956738,0.1969286222611341,0.0070119344347944
uniform,0.1,100,15,1e-06,10,2.389102899263769,0.0993352387433361,2.4033484160763607,0.1251177604474378,2.1921742770026347,0.097570801239521,0.1969286222611341,0.0070119344347944
