G,sigma2,num_samples,M,rho,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss,mean_oracle_loss,std_oracle_loss,NMC
1-modal,0.1,100,5,0.5,0.0451025384113408,0.0038626245041483,0.0074909704269171,0.0037026161332513,0.0101242198674021,0.0038350809571363,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,5,0.25,0.0460340531699324,0.0075297575405051,0.0110456265526226,0.0082094878096762,0.0110557346259938,0.0074733815429399,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,5,0.1,0.0581643602589772,0.0217763287136683,0.026253637771141,0.0232039126980576,0.0231860417150385,0.021710505652563,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,5,0.05,0.0881216847110223,0.0554620817932724,0.0581473942000283,0.0567546183261113,0.0531433661670837,0.0554214066193232,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,5,0.025,0.107686928283672,0.0547702782217485,0.078932628348694,0.0570934687253952,0.0727086097397333,0.0544677227406974,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,5,0.01,0.110596335945653,0.0490507506154988,0.0825774834233282,0.0536754722775706,0.0756180174017143,0.0489191493236591,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,5,0.001,0.1081557203296815,0.0489369080743879,0.0780939181814469,0.0510381963513096,0.0731774017857428,0.048641374753345,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,5,0.0001,0.1131943640066015,0.0505934020962137,0.0837480414896571,0.0530161259348363,0.0782160454626628,0.0503296116622426,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,5,1e-05,0.1143542499156415,0.0554806066494776,0.0864207351784574,0.0604565631192081,0.0793759313717029,0.0552604271246116,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,5,1e-06,0.1087403582430126,0.0500801070454823,0.0799115522652256,0.0544500028698279,0.0737620396990739,0.049792844965473,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,5,1e-07,0.1189664638632003,0.0599991241321189,0.0878113610642439,0.060605356514396,0.0839881453192616,0.0599234299960955,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,5,1e-08,0.1096358873449576,0.0509049439079853,0.0809630218007468,0.0552666189482152,0.0746575688010189,0.0506727956007136,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,6,0.5,0.047071160745005,0.005887593256048,0.0092290955032954,0.0053989881023681,0.0120928422010663,0.0058194581590016,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,6,0.25,0.0473614589884863,0.0091116822112244,0.0119127391223191,0.0090673172407485,0.0123831404445476,0.0091604026743934,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,6,0.1,0.054468630474005,0.0167401942951036,0.0216381504173525,0.0169809104731876,0.0194903119300663,0.0168908044503788,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,6,0.05,0.0699895374082073,0.0334546394942333,0.0379167908606546,0.0322232545398268,0.0350112188642687,0.0336385445085723,0.0349783185439386,0.0013724219691681,10.0
1-modal,0.1,100,6,0.025,0.0907968830321222,0.0482525313306442,0.059747220743164,0.0481707707190732,0.0558185644881836,0.0485819341086004,0.0349783185439386,0.0013724219691681,10.0
