G,sigma2,num_samples,M,rho,NMC,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss
1-modal,0.1,500,5,0.045,25,0.05442478520605186,0.002966057225361298,0.0051514488434791835,0.003368616887051298,0.005331203080149956,0.002698090111971081
1-modal,0.1,500,5,0.065,25,0.05463260406626622,0.0026355659186137895,0.004757964120493429,0.002793113555779291,0.005539021940364312,0.002322919140019939
1-modal,0.1,500,5,0.085,25,0.05497811051762959,0.0023259609960522326,0.004598305844685978,0.0023998689122184907,0.00588452839172767,0.002013172074727203
1-modal,0.1,500,5,0.1,25,0.0552993138137651,0.002161739102239585,0.004584220027108063,0.0022030192343810966,0.0062057316878632,0.0018488406126876851
1-modal,0.1,500,5,0.125,25,0.05591189686146389,0.0020638812469764823,0.004676111314462969,0.0019817919712851436,0.006818314735561975,0.0017110825054103397
1-modal,0.1,500,5,0.15,25,0.05656832581015137,0.002041420362968165,0.004839981977634845,0.0018456278346109664,0.007474743684249463,0.001648902339617786
1-modal,0.1,500,5,0.175,25,0.057240666964233494,0.0020758675825395187,0.005036089733631709,0.0017563238183332629,0.00814708483833159,0.0016377267156471279
1-modal,0.1,500,5,0.2,25,0.05790774910411475,0.00212019905795272,0.005263119533738576,0.0016731764415547257,0.00881416697821283,0.0016517715678614614
1-modal,0.1,500,6,0.015,25,0.05402795105935485,0.003284192239830075,0.005534075556762918,0.0036263251637091774,0.004934368933452944,0.0029387466850871948
1-modal,0.1,500,6,0.025,25,0.05345403534588726,0.0026193933405706427,0.004579830332686473,0.0029112066057627155,0.0043604532199853566,0.002188403724050232
1-modal,0.1,500,6,0.045,25,0.05350461752130485,0.0021812173725257056,0.004011529150835729,0.002452384918547519,0.00441103539540294,0.0018184016383282113
1-modal,0.1,500,6,0.065,25,0.05396212483593531,0.0020383708102239425,0.003912613602786067,0.002147188837875789,0.004868542710033401,0.0016144055316956285
1-modal,0.1,500,6,0.085,25,0.05452942726860649,0.0019033912742198755,0.0039899656578841185,0.0019112821632140224,0.005435845142704584,0.0014814129430174602
1-modal,0.1,500,6,0.1,25,0.05500471345793478,0.0018371244319263394,0.0041364348264401754,0.0018176528881926387,0.0059111313320328665,0.0014383908073374624
1-modal,0.1,500,6,0.125,25,0.055823812701991445,0.0018556615815275039,0.0044616103195186455,0.0017478541978440598,0.0067302305760895366,0.0014646499244017205
1-modal,0.1,500,6,0.15,25,0.056639910656101994,0.00193006616331373,0.004802184170633227,0.001732878584498791,0.007546328530200089,0.0015408216050197105
1-modal,0.1,500,6,0.175,25,0.05743968228899415,0.0020182486656607976,0.005150225819945865,0.0017392915590732489,0.00834610016309224,0.0016387541313456512
1-modal,0.1,500,6,0.2,25,0.05822834421477967,0.0021233209426126057,0.005505290812489898,0.0017459380068051969,0.009134762088877755,0.001752781556289244
1-modal,0.1,500,7,0.015,25,0.05630696617452086,0.0045013052340187815,0.008051157331748849,0.004645254348403302,0.007213384048618954,0.003957633181497306
1-modal,0.1,500,7,0.025,25,0.054755421911296336,0.0029021404894080637,0.00598524038721345,0.002896470201883907,0.005661839785394425,0.0024711547966908254
1-modal,0.1,500,7,0.045,25,0.05429069582174056,0.0023092223139571794,0.0048243205243285415,0.002291078701053353,0.00519711369583864,0.0019034649357987643
1-modal,0.1,500,7,0.065,25,0.05455575793047589,0.002112867697730115,0.004526912281385282,0.002009209365322212,0.005462175804573974,0.0016237975614930053
1-modal,0.1,500,7,0.085,25,0.0550112020770545,0.001970048073281609,0.00447656998209878,0.0018385198194635908,0.005917619951152586,0.0014650944054547034
1-modal,0.1,500,7,0.1,25,0.055422666017836415,0.001889916828149905,0.004547632757206325,0.001749889416567742,0.006329083891934497,0.0013792467080286192
1-modal,0.1,500,7,0.125,25,0.056167129543524694,0.001839866804357324,0.004782254226549094,0.0016266794741505877,0.007073547417622784,0.001330551454937112
1-modal,0.1,500,7,0.15,25,0.05695263074659218,0.0018694145788488064,0.005086111180246611,0.001552305924371763,0.007859048620690276,0.0013631066592652672
1-modal,0.1,500,7,0.175,25,0.05774425349877494,0.001941311765106107,0.005427251564920774,0.0015161491584404006,0.008650671372873023,0.001469566828747633
1-modal,0.1,500,7,0.2,25,0.058542610871678585,0.0020400481478640565,0.00579191044797576,0.0015175476382230262,0.009449028745776682,0.001597722240430418
1-modal,0.1,500,8,0.015,25,0.05821587789929859,0.005555679729693079,0.009805443030141636,0.005935418304943713,0.009122295773396688,0.005511662830291984
1-modal,0.1,500,8,0.025,25,0.05634034050926545,0.0036855268548644476,0.0074168363754536495,0.0035709246635700015,0.007246758383363551,0.003460461560752927
1-modal,0.1,500,8,0.045,25,0.05565439260775681,0.002916862892693792,0.006090552223037065,0.002470677824786653,0.006560810481854894,0.0025651712395634895
1-modal,0.1,500,8,0.065,25,0.05566742286458867,0.0025244019867366597,0.005562966844635141,0.0020508756531246587,0.006573840738686753,0.0021490118226843956
1-modal,0.1,500,8,0.085,25,0.055980402134380734,0.002280394154807519,0.0053724423811441525,0.0018453460184372265,0.006886820008478829,0.0018699893147007176
1-modal,0.1,500,8,0.1,25,0.05632295297007864,0.002170996621333456,0.00537472121669155,0.0017587938817060613,0.007229370844176724,0.0017318628478177373
1-modal,0.1,500,8,0.125,25,0.05697875059570905,0.0020819555102959894,0.005508750436022007,0.0016541913111154686,0.007885168469807144,0.001602348586215561
1-modal,0.1,500,8,0.15,25,0.057679311582209056,0.0020711592612284815,0.005730279738547261,0.0015769592553866122,0.008585729456307145,0.001552348832470727
1-modal,0.1,500,8,0.175,25,0.058405339453442985,0.002094831185389606,0.006008654022384474,0.0015242174537967344,0.009311757327541076,0.0015658073390348777
1-modal,0.1,500,8,0.2,25,0.05916325287212994,0.0021523177187689714,0.00633557862603514,0.001493864502481254,0.010069670746228023,0.0016190579891373904
1-modal,0.1,1000,1,0.015,25,0.08668645057069778,0.0031970685046028777,0.025912477619733407,0.0008702037254881167,0.03759286844479588,0.0023298107174924577
1-modal,0.1,1000,1,0.025,25,0.08668645057069778,0.0031970685046028777,0.025912477619733407,0.0008702037254881167,0.03759286844479588,0.0023298107174924577
1-modal,0.1,1000,1,0.045,25,0.08668645057069778,0.0031970685046028777,0.025912477619733407,0.0008702037254881167,0.03759286844479588,0.0023298107174924577
1-modal,0.1,1000,1,0.065,25,0.08668645057069778,0.0031970685046028777,0.025912477619733407,0.0008702037254881167,0.03759286844479588,0.0023298107174924577
1-modal,0.1,1000,1,0.085,25,0.0866871874274936,0.003195818432954044,0.025912640997368768,0.0008698867429322449,0.037593605301591684,0.0023286211249965074
1-modal,0.1,1000,1,0.1,25,0.08669089913474651,0.003190346595587274,0.025913839630337363,0.0008676922097399853,0.037597317008844604,0.002323342000305777
