G,sigma2,num_samples,rho_star,median_emp_minus_oracle,mean_emp_minus_oracle,std_emp_minus_oracle
2-modal,0.10300000000000001,500,0.06,0.008661530894440734,0.010868287057768941,0.005968172248932091
3-modal,0.10300000000000001,50,0.5,0.035198769585444004,0.039838677069305786,0.013082407656043227
3-modal,0.10300000000000001,100,0.5,0.03694615606677282,0.03173485157932383,0.01726877461101006
3-modal,0.10300000000000001,250,0.16999999999999998,0.012257046591718813,0.013235657208104646,0.010551697968458876
3-modal,0.10300000000000001,500,0.11499999999999999,0.009117867197484645,0.010212640473427372,0.005220137639274085
4-modal,0.10300000000000001,50,0.5,0.03490951218848788,0.03946021279277627,0.019260461847279753
4-modal,0.10300000000000001,100,0.445,0.017816992539427354,0.019403035832293084,0.009630445522140494
4-modal,0.10300000000000001,250,0.33499999999999996,0.012019821183887011,0.009417304287287619,0.007491765109621227
4-modal,0.10300000000000001,500,0.28,0.007097314810503644,0.0082029303710246,0.004948391558034555
1-modal,0.15200000000000002,50,0.5,0.050180773235462994,0.052942197571001916,0.0262770385258878
1-modal,0.15200000000000002,100,0.28,0.02011609285776445,0.019254076927329063,0.009939923622501519
1-modal,0.15200000000000002,250,0.16999999999999998,0.021414411905322128,0.020524764998106404,0.011182874977517028
1-modal,0.15200000000000002,500,0.16999999999999998,0.008486697158012205,0.011396934443351232,0.008191538717331224
2-modal,0.15200000000000002,50,0.5,0.06798007024776338,0.07983965125977999,0.0337811553820957
2-modal,0.15200000000000002,100,0.33499999999999996,0.04500038737603003,0.04657030730870286,0.014228171519382096
2-modal,0.15200000000000002,250,0.16999999999999998,0.027146740812679353,0.028432857891030238,0.011785357684394827
2-modal,0.15200000000000002,500,0.11499999999999999,0.019993545848294346,0.025249158226518614,0.015509892539920904
3-modal,0.15200000000000002,50,0.5,0.07418150508044231,0.07918397452006001,0.04766072585089317
3-modal,0.15200000000000002,100,0.5,0.03978395400612617,0.04362709130643273,0.031732097099272945
3-modal,0.15200000000000002,250,0.33499999999999996,0.021035459648485695,0.022764630552128073,0.009765899891148398
3-modal,0.15200000000000002,500,0.28,0.010181242683179735,0.009801288111448616,0.00795742639469976
4-modal,0.15200000000000002,50,0.5,0.05522007068332074,0.06024546642225326,0.027521818850678077
4-modal,0.15200000000000002,100,0.5,0.026356649474479275,0.030762780634832475,0.024479323212782268
4-modal,0.15200000000000002,250,0.5,0.018666345486790074,0.020670700139483477,0.012255594852140703
4-modal,0.15200000000000002,500,0.28,0.007205161618651208,0.009324186333611616,0.008964807162721465
1-modal,0.201,50,0.5,0.10240984202754061,0.11835431049522416,0.08028062392936586
1-modal,0.201,100,0.39,0.04149869283200623,0.04546289056750967,0.022205485073530543
1-modal,0.201,250,0.33499999999999996,0.0675316133864729,0.059082304119132636,0.021785103274760468
1-modal,0.201,500,0.11499999999999999,0.021704015101540863,0.028255152629448367,0.01966652388908715
2-modal,0.201,50,0.5,0.15529685532585086,0.16207448776005995,0.057740334671718116
2-modal,0.201,100,0.5,0.09200463152574731,0.10455931579150286,0.053433548429314914
2-modal,0.201,250,0.22499999999999998,0.0416304219039893,0.051491971132181694,0.022684326801364986
2-modal,0.201,500,0.11499999999999999,0.03208097018772113,0.029978775230284898,0.010143162295667899
3-modal,0.201,50,0.5,0.1698988583402632,0.1523195619094804,0.045692146318235434
3-modal,0.201,100,0.5,0.06413436453435892,0.07468748958697205,0.032289509625775
3-modal,0.201,250,0.445,0.039587045057789226,0.03632433416091916,0.01759266243143587
3-modal,0.201,500,0.33499999999999996,0.018885957920387664,0.02048707640013713,0.023935369379489094
4-modal,0.201,50,0.5,0.0992189547844214,0.11523514673963468,0.060057557021114955
4-modal,0.201,100,0.5,0.07538849606484112,0.07850093233719305,0.052821583376257635
4-modal,0.201,250,0.5,0.03666084058912536,0.03246818936069581,0.021299768211139755
4-modal,0.201,500,0.5,0.02990312935608172,0.027957988495984586,0.006862089737645234
1-modal,0.25,50,0.39,0.09700702899418841,0.13346597696913676,0.08880616468087116
1-modal,0.25,100,0.22499999999999998,0.08498283434245454,0.08631553158508258,0.046092270824320256
1-modal,0.25,250,0.11499999999999999,0.0328675254832768,0.03697655340290452,0.020738427236526396
1-modal,0.25,500,0.16999999999999998,0.0364884348796492,0.03852420634580048,0.015484748442323039
2-modal,0.25,50,0.5,0.19679406845036945,0.20924940435348774,0.0671616708711724
2-modal,0.25,100,0.5,0.13536104828811404,0.14424493526302487,0.0546511274210242
2-modal,0.25,250,0.11499999999999999,0.05300629496738596,0.05685876181240116,0.03428153740719578
2-modal,0.25,500,0.16999999999999998,0.04955345054298638,0.05807586761102214,0.02881881896660127
3-modal,0.25,50,0.5,0.1380248031434646,0.17981496705511424,0.09188251644420886
3-modal,0.25,100,0.5,0.12213880279494277,0.12570333987680166,0.05511971475219043
3-modal,0.25,250,0.5,0.05516913605497245,0.06398692703271777,0.03490478284041797
3-modal,0.25,500,0.5,0.0075858920753323344,0.01753132256682281,0.01778364528982536
4-modal,0.25,50,0.5,0.08942961404694039,0.12509351211723055,0.09447651522965402
4-modal,0.25,100,0.5,0.10911566626893007,0.11020041313679582,0.03791754234617355
4-modal,0.25,250,0.5,0.03945174181482623,0.03872317510387213,0.020619967055860455
4-modal,0.25,500,0.5,0.019598491610856833,0.01595435773555165,0.013379159337192878
